"Date";"D0";"D1";"Value"
"1987";"MW";"AP";"91.85507709"
"1987";"BF";"AP";"98.97733425"
"1987";"GF";"AP";"93.11317622"
"1987";"VF";"AP";"125.20274565"
"1988";"EW";"TP3";
"1988";"EW";"TP1";"104.56529222"
"1988";"EW";"TP2";"97.52535895"
"1988";"EW";"AP";"106.53214175"
"1988";"EW";"TP";"99.28979126"
"1988";"EH";"TP3";
"1988";"EH";"TP1";"88.68857702"
"1988";"EH";"TP2";"88.84966728"
"1988";"EH";"AP";"114.24955392"
"1988";"EH";"TP";"84.64826837"
"1988";"MH";"TP1";
"1988";"MH";"TP2";
"1988";"MH";"TP";
"1988";"MW";"AP";"102.30838356"
"1988";"BF";"AP";"108.20556851"
"1988";"GF";"AP";"99.29921806"
"1988";"VF";"AP";"133.70832532"
"1989";"EW";"TP3";
"1989";"EW";"TP1";"109.67768455"
"1989";"EW";"TP2";"107.70813936"
"1989";"EW";"AP";"117.15313964"
"1989";"EW";"TP";"106.82764674"
"1989";"EH";"TP3";
"1989";"EH";"TP1";"98.62385419"
"1989";"EH";"TP2";"97.39785818"
"1989";"EH";"AP";"128.82407808"
"1989";"EH";"TP";"92.3352753"
"1989";"MH";"TP1";
"1989";"MH";"TP2";
"1989";"MH";"TP";
"1989";"MW";"AP";"116.30808852"
"1989";"BF";"AP";"117.45447261"
"1989";"GF";"AP";"104.78555644"
"1989";"VF";"AP";"141.60134668"
"1990";"EW";"TP3";
"1990";"EW";"TP1";"113.32465649"
"1990";"EW";"TP2";"109.04101534"
"1990";"EW";"AP";"122.83717158"
"1990";"EW";"TP";"112.16030805"
"1990";"EH";"TP3";
"1990";"EH";"TP1";"103.91576104"
"1990";"EH";"TP2";"101.51930737"
"1990";"EH";"AP";"128.46662032"
"1990";"EH";"TP";"100.49828841"
"1990";"MH";"TP1";
"1990";"MH";"TP2";
"1990";"MH";"TP";
"1990";"MW";"AP";"137.73712859"
"1990";"BF";"AP";"134.68370116"
"1990";"GF";"AP";"117.04677846"
"1990";"VF";"AP";"163.07488584"
"1991";"EW";"TP3";
"1991";"EW";"TP1";"113.67032259"
"1991";"EW";"TP2";"109.5702455"
"1991";"EW";"AP";"121.8454291"
"1991";"EW";"TP";"115.88203554"
"1991";"EH";"TP3";
"1991";"EH";"TP1";"107.26604513"
"1991";"EH";"TP2";"103.09347199"
"1991";"EH";"AP";"126.34543659"
"1991";"EH";"TP";"101.60135945"
"1991";"MH";"TP1";
"1991";"MH";"TP2";
"1991";"MH";"TP";
"1991";"MW";"AP";"155.31512168"
"1991";"BF";"AP";"136.11267788"
"1991";"GF";"AP";"127.25482509"
"1991";"VF";"AP";"142.7958282"
"1992";"EW";"TP3";
"1992";"EW";"TP1";"117.06234339"
"1992";"EW";"TP2";"109.37423433"
"1992";"EW";"AP";"116.64363967"
"1992";"EW";"TP";"114.29455538"
"1992";"EH";"TP3";
"1992";"EH";"TP1";"105.44870165"
"1992";"EH";"TP2";"102.12035204"
"1992";"EH";"AP";"120.78477163"
"1992";"EH";"TP";"101.24803358"
"1992";"MH";"TP1";
"1992";"MH";"TP2";
"1992";"MH";"TP";
"1992";"MW";"AP";"157.06972102"
"1992";"BF";"AP";"123.566311"
"1992";"GF";"AP";"121.06812455"
"1992";"VF";"AP";"141.85566304"
"1993";"EW";"TP3";
"1993";"EW";"TP1";"113.64390844"
"1993";"EW";"TP2";"110.05047288"
"1993";"EW";"AP";"111.8897697"
"1993";"EW";"TP";"114.19942873"
"1993";"EH";"TP3";
"1993";"EH";"TP1";"103.64359452"
"1993";"EH";"TP2";"101.33803993"
"1993";"EH";"AP";"114.53812637"
"1993";"EH";"TP";"99.41185271"
"1993";"MH";"TP1";
"1993";"MH";"TP2";
"1993";"MH";"TP";
"1993";"MW";"AP";"142.98756787"
"1993";"BF";"AP";"114.96135024"
"1993";"GF";"AP";"115.32444388"
"1993";"VF";"AP";"122.41734174"
"1994";"EW";"TP3";
"1994";"EW";"TP1";"114.17049811"
"1994";"EW";"TP2";"108.70779634"
"1994";"EW";"AP";"111.5250656"
"1994";"EW";"TP";"112.37893696"
"1994";"EH";"TP3";
"1994";"EH";"TP1";"101.09218017"
"1994";"EH";"TP2";"102.14897322"
"1994";"EH";"AP";"114.44994832"
"1994";"EH";"TP";"100.08308621"
"1994";"MH";"TP1";
"1994";"MH";"TP2";
"1994";"MH";"TP";
"1994";"MW";"AP";"130.41559775"
"1994";"BF";"AP";"107.47909024"
"1994";"GF";"AP";"113.66985662"
"1994";"VF";"AP";"113.6425552"
"1995";"EW";"TP3";
"1995";"EW";"TP1";"111.94510653"
"1995";"EW";"TP2";"106.71828294"
"1995";"EW";"AP";"108.31094936"
"1995";"EW";"TP";"110.03339494"
"1995";"EH";"TP3";
"1995";"EH";"TP1";"101.19038331"
"1995";"EH";"TP2";"101.62425168"
"1995";"EH";"AP";"109.99214712"
"1995";"EH";"TP";"100.6539315"
"1995";"MH";"TP1";
"1995";"MH";"TP2";
"1995";"MH";"TP";
"1995";"MW";"AP";"122.91877299"
"1995";"BF";"AP";"103.75705374"
"1995";"GF";"AP";"116.27119166"
"1995";"VF";"AP";"115.81345627"
"1996";"EW";"TP3";
"1996";"EW";"TP1";"109.3699325"
"1996";"EW";"TP2";"105.88278532"
"1996";"EW";"AP";"104.50111466"
"1996";"EW";"TP";"107.16392623"
"1996";"EH";"TP3";
"1996";"EH";"TP1";"97.76399908"
"1996";"EH";"TP2";"98.43537577"
"1996";"EH";"AP";"103.69988192"
"1996";"EH";"TP";"98.26634785"
"1996";"MH";"TP1";
"1996";"MH";"TP2";"81.26648083"
"1996";"MH";"TP";
"1996";"MW";"AP";"112.67227189"
"1996";"BF";"AP";"101.64099505"
"1996";"GF";"AP";"101.72086481"
"1996";"VF";"AP";"109.88456656"
"1997";"EW";"TP3";
"1997";"EW";"TP1";"107.49291959"
"1997";"EW";"TP2";"101.85230558"
"1997";"EW";"AP";"99.7554425"
"1997";"EW";"TP";"102.95857675"
"1997";"EH";"TP3";
"1997";"EH";"TP1";"95.50281889"
"1997";"EH";"TP2";"95.95248885"
"1997";"EH";"AP";"100.09309134"
"1997";"EH";"TP";"97.86297665"
"1997";"MH";"TP1";
"1997";"MH";"TP2";"77.05680705"
"1997";"MH";"TP";
"1997";"MW";"AP";"106.38426079"
"1997";"BF";"AP";"98.74199367"
"1997";"GF";"AP";"98.40865904"
"1997";"VF";"AP";"103.28566743"
"1998";"EW";"TP3";
"1998";"EW";"TP1";"102.82266828"
"1998";"EW";"TP2";"101.38677905"
"1998";"EW";"AP";"98.40839341"
"1998";"EW";"TP";"102.24445211"
"1998";"EH";"TP3";
"1998";"EH";"TP1";"94.06578944"
"1998";"EH";"TP2";"96.88744723"
"1998";"EH";"AP";"99.22895888"
"1998";"EH";"TP";"97.30334609"
"1998";"MH";"TP1";
"1998";"MH";"TP2";"75.76847736"
"1998";"MH";"TP";
"1998";"MW";"AP";"102.03955866"
"1998";"BF";"AP";"96.65350094"
"1998";"GF";"AP";"97.25347126"
"1998";"VF";"AP";"96.70942259"
"1999";"EW";"TP3";
"1999";"EW";"TP1";"98.9823003"
"1999";"EW";"TP2";"98.5421669"
"1999";"EW";"AP";"98.53346225"
"1999";"EW";"TP";"101.61501049"
"1999";"EH";"TP3";
"1999";"EH";"TP1";"95.98398564"
"1999";"EH";"TP2";"96.17430296"
"1999";"EH";"AP";"99.08164045"
"1999";"EH";"TP";"99.34181673"
"1999";"MH";"TP1";
"1999";"MH";"TP2";"77.66330144"
"1999";"MH";"TP";
"1999";"MW";"AP";"99.73256511"
"1999";"BF";"AP";"96.96563276"
"1999";"GF";"AP";"99.00509356"
"1999";"VF";"AP";"94.01391934"
"2000";"EW";"TP3";
"2000";"EW";"TP1";"100"
"2000";"EW";"TP2";"100"
"2000";"EW";"AP";"100"
"2000";"EW";"TP";"100"
"2000";"EH";"TP3";
"2000";"EH";"TP1";"100"
"2000";"EH";"TP2";"100"
"2000";"EH";"AP";"100"
"2000";"EH";"TP";"100"
"2000";"MH";"TP1";"66.52057554"
"2000";"MH";"TP2";"85.95080238"
"2000";"MH";"TP";
"2000";"MW";"AP";"100"
"2000";"BF";"AP";"100"
"2000";"GF";"AP";"100"
"2000";"VF";"AP";"100"
"2001";"EW";"TP3";
"2001";"EW";"TP1";"101.75955786"
"2001";"EW";"TP2";"102.23452737"
"2001";"EW";"AP";"104.29728972"
"2001";"EW";"TP";"100.52174318"
"2001";"EH";"TP3";
"2001";"EH";"TP1";"101.98706528"
"2001";"EH";"TP2";"104.7868915"
"2001";"EH";"AP";"101.92728465"
"2001";"EH";"TP";"100.89390315"
"2001";"MH";"TP1";"71.67546594"
"2001";"MH";"TP2";"81.87862578"
"2001";"MH";"TP";
"2001";"MW";"AP";"101.8356836"
"2001";"BF";"AP";"104.80127851"
"2001";"GF";"AP";"98.10294653"
"2001";"VF";"AP";"99.33741061"
"2002";"EW";"TP3";
"2002";"EW";"TP1";"103.7374949"
"2002";"EW";"TP2";"102.72945558"
"2002";"EW";"AP";"112.40078678"
"2002";"EW";"TP";"101.70288795"
"2002";"EH";"TP3";
"2002";"EH";"TP1";"101.52341877"
"2002";"EH";"TP2";"102.11558184"
"2002";"EH";"AP";"106.64691797"
"2002";"EH";"TP";"100.75691113"
"2002";"MH";"TP1";"72.42881464"
"2002";"MH";"TP2";"79.12303172"
"2002";"MH";"TP";
"2002";"MW";"AP";"105.40160018"
"2002";"BF";"AP";"106.64583984"
"2002";"GF";"AP";"99.70686953"
"2002";"VF";"AP";"103.66350188"
"2003";"EW";"TP3";
"2003";"EW";"TP1";"107.85637608"
"2003";"EW";"TP2";"104.42495222"
"2003";"EW";"AP";"119.48379635"
"2003";"EW";"TP";"104.24710106"
"2003";"EH";"TP3";
"2003";"EH";"TP1";"103.86800838"
"2003";"EH";"TP2";"103.21272688"
"2003";"EH";"AP";"109.82739515"
"2003";"EH";"TP";"102.19971364"
"2003";"MH";"TP1";"74.5462189"
"2003";"MH";"TP2";"79.79733293"
"2003";"MH";"TP";
"2003";"MW";"AP";"108.82208243"
"2003";"BF";"AP";"106.09197734"
"2003";"GF";"AP";"103.53945698"
"2003";"VF";"AP";"104.95341431"
"2004";"EW";"TP3";
"2004";"EW";"TP1";"112.75151952"
"2004";"EW";"TP2";"105.90728672"
"2004";"EW";"AP";"122.51564527"
"2004";"EW";"TP";"110.17106286"
"2004";"EH";"TP3";
"2004";"EH";"TP1";"103.7299094"
"2004";"EH";"TP2";"104.75588523"
"2004";"EH";"AP";"112.42439346"
"2004";"EH";"TP";"105.94762434"
"2004";"MH";"TP1";"79.10512273"
"2004";"MH";"TP2";"81.89181044"
"2004";"MH";"TP";
"2004";"MW";"AP";"112.55913062"
"2004";"BF";"AP";"106.49412788"
"2004";"GF";"AP";"103.26578429"
"2004";"VF";"AP";"107.7542686"
"2005";"EW";"TP3";
"2005";"EW";"TP1";"117.66743459"
"2005";"EW";"TP2";"106.57127456"
"2005";"EW";"AP";"125.22696492"
"2005";"EW";"TP";"115.72163336"
"2005";"EH";"TP3";
"2005";"EH";"TP1";"108.28516997"
"2005";"EH";"TP2";"105.48572519"
"2005";"EH";"AP";"113.63374738"
"2005";"EH";"TP";"109.86862216"
"2005";"MH";"TP1";"89.01707225"
"2005";"MH";"TP2";"85.67015746"
"2005";"MH";"TP";"82.78724727"
"2005";"MW";"AP";"116.84349312"
"2005";"BF";"AP";"106.88310247"
"2005";"GF";"AP";"103.80975893"
"2005";"VF";"AP";"104.88059386"
"2006";"EW";"TP3";
"2006";"EW";"TP1";"124.73906242"
"2006";"EW";"TP2";"111.75822022"
"2006";"EW";"AP";"126.99066945"
"2006";"EW";"TP";"123.73007922"
"2006";"EH";"TP3";
"2006";"EH";"TP1";"113.47609115"
"2006";"EH";"TP2";"109.9220073"
"2006";"EH";"AP";"116.45865743"
"2006";"EH";"TP";"116.63153466"
"2006";"MH";"TP1";"91.60913567"
"2006";"MH";"TP2";"89.42590221"
"2006";"MH";"TP";"86.97081725"
"2006";"MW";"AP";"120.65254049"
"2006";"BF";"AP";"107.7081171"
"2006";"GF";"AP";"104.80639544"
"2006";"VF";"AP";"107.20029936"
"2007";"EW";"TP3";
"2007";"EW";"TP1";"132.97190934"
"2007";"EW";"TP2";"120.96094477"
"2007";"EW";"AP";"130.15611776"
"2007";"EW";"TP";"133.50233239"
"2007";"EH";"TP3";
"2007";"EH";"TP1";"120.51868394"
"2007";"EH";"TP2";"117.3277363"
"2007";"EH";"AP";"118.85988892"
"2007";"EH";"TP";"123.49524646"
"2007";"MH";"TP1";"93.31223652"
"2007";"MH";"TP2";"91.51661267"
"2007";"MH";"TP";"94.51814652"
"2007";"MW";"AP";"123.73518947"
"2007";"BF";"AP";"107.14810291"
"2007";"GF";"AP";"108.29187174"
"2007";"VF";"AP";"106.80577097"
"2008";"EW";"TP3";
"2008";"EW";"TP1";"140.03434433"
"2008";"EW";"TP2";"129.9456069"
"2008";"EW";"AP";"135.5107307"
"2008";"EW";"TP";"139.7043921"
"2008";"EH";"TP3";
"2008";"EH";"TP1";"125.41308524"
"2008";"EH";"TP2";"128.40890119"
"2008";"EH";"AP";"122.05189619"
"2008";"EH";"TP";"128.12312208"
