"Date";"D0";"Value"
"1999-10-04";"H7";
"1999-10-04";"H8";
"1999-10-04";"H1";"1.1"
"1999-10-04";"H2";"1.17"
"1999-10-04";"H3";
"1999-10-04";"H4";"1.21"
"1999-10-04";"H5";
"1999-10-05";"H0";"1.098039"
"1999-10-05";"H6";
"1999-10-05";"H7";
"1999-10-05";"H8";
"1999-10-05";"H1";"1.145"
"1999-10-05";"H2";"1.16"
"1999-10-05";"H3";
"1999-10-05";"H4";"1.237692"
"1999-10-05";"H5";
"1999-10-06";"H0";"1.05"
"1999-10-06";"H6";
"1999-10-06";"H7";
"1999-10-06";"H8";
"1999-10-06";"H1";"1.130001"
"1999-10-06";"H2";"1.167273"
"1999-10-06";"H3";
"1999-10-06";"H4";
"1999-10-06";"H5";
"1999-10-07";"H0";"0.981389"
"1999-10-07";"H6";
"1999-10-07";"H7";
"1999-10-07";"H8";
"1999-10-07";"H1";"1.1"
"1999-10-07";"H2";
"1999-10-07";"H3";
"1999-10-07";"H4";
"1999-10-07";"H5";
"1999-10-08";"H0";"0.995455"
"1999-10-08";"H6";
"1999-10-08";"H7";
"1999-10-08";"H8";
"1999-10-08";"H1";"1.09"
"1999-10-08";"H2";"1.115"
"1999-10-08";"H3";"1.14"
"1999-10-08";"H4";
"1999-10-08";"H5";
"1999-10-11";"H0";"0.993478"
"1999-10-11";"H6";
"1999-10-11";"H7";
"1999-10-11";"H8";
"1999-10-11";"H1";"1.0975"
"1999-10-11";"H2";"1.07"
"1999-10-11";"H3";
"1999-10-11";"H4";
"1999-10-11";"H5";
"1999-10-12";"H0";"0.95"
"1999-10-12";"H6";
"1999-10-12";"H7";
"1999-10-12";"H8";
"1999-10-12";"H1";"1.094"
"1999-10-12";"H2";
"1999-10-12";"H3";
"1999-10-12";"H4";
"1999-10-12";"H5";
"1999-10-13";"H0";"0.994286"
"1999-10-13";"H6";
"1999-10-13";"H7";
"1999-10-13";"H8";
"1999-10-13";"H1";"1.061176"
"1999-10-13";"H2";"1.134762"
"1999-10-13";"H3";"1.08"
"1999-10-13";"H4";
"1999-10-13";"H5";
"1999-10-14";"H0";"0.9"
"1999-10-14";"H6";
"1999-10-14";"H7";
"1999-10-14";"H8";
"1999-10-14";"H1";"1.05"
"1999-10-14";"H2";
"1999-10-14";"H3";"1.1"
"1999-10-14";"H4";"1.14"
"1999-10-14";"H5";
"1999-10-15";"H0";"0.74"
"1999-10-15";"H6";
"1999-10-15";"H7";
"1999-10-15";"H8";
"1999-10-15";"H1";"1.03"
"1999-10-15";"H2";"1.05"
"1999-10-15";"H3";"1.09"
"1999-10-15";"H4";
"1999-10-15";"H5";"1.93"
"1999-10-18";"H0";"0.84"
"1999-10-18";"H6";
"1999-10-18";"H7";
"1999-10-18";"H8";
"1999-10-18";"H1";"0.973684"
"1999-10-18";"H2";
"1999-10-18";"H3";
"1999-10-18";"H4";
"1999-10-18";"H5";
"1999-10-19";"H0";"0.8"
"1999-10-19";"H6";
"1999-10-19";"H7";
"1999-10-19";"H8";
"1999-10-19";"H1";"0.965"
"1999-10-19";"H2";
"1999-10-19";"H3";
"1999-10-19";"H4";
"1999-10-19";"H5";
"1999-10-20";"H0";"0.8"
"1999-10-20";"H6";
"1999-10-20";"H7";
"1999-10-20";"H8";
"1999-10-20";"H1";"0.982623"
"1999-10-20";"H2";
"1999-10-20";"H3";
"1999-10-20";"H4";"1.14"
"1999-10-20";"H5";
"1999-10-21";"H0";"0.74"
"1999-10-21";"H6";
"1999-10-21";"H7";
"1999-10-21";"H8";
"1999-10-21";"H1";"0.973333"
