"CubeId";"plimoinchq"
"PublishingDate";"2026-01-21 09:00"

"Date";"D0";"D1";"Value"
"1976-Q3";"EW";"AP";"49.36504728"
"1976-Q3";"EW";"TP";
"1976-Q3";"EH";"TP3";
"1976-Q3";"EH";"TP1";
"1976-Q3";"EH";"TP2";
"1976-Q3";"EH";"AP";"52.19203563"
"1976-Q3";"EH";"TP";
"1976-Q3";"MH";"TP1";
"1976-Q3";"MH";"TP2";
"1976-Q3";"MH";"TP";
"1976-Q3";"MW";"AP";"48.07981436"
"1976-Q3";"BF";"AP";"59.38887227"
"1976-Q3";"GF";"AP";"61.73128867"
"1976-Q3";"VF";"AP";
"1976-Q4";"EW";"TP3";
"1976-Q4";"EW";"TP1";
"1976-Q4";"EW";"TP2";
"1976-Q4";"EW";"AP";"50.69020225"
"1976-Q4";"EW";"TP";
"1976-Q4";"EH";"TP3";
"1976-Q4";"EH";"TP1";
"1976-Q4";"EH";"TP2";
"1976-Q4";"EH";"AP";"53.95157509"
"1976-Q4";"EH";"TP";
"1976-Q4";"MH";"TP1";
"1976-Q4";"MH";"TP2";
"1976-Q4";"MH";"TP";
"1976-Q4";"MW";"AP";"48.38586965"
"1976-Q4";"BF";"AP";"55.76531085"
"1976-Q4";"GF";"AP";"57.08726237"
"1976-Q4";"VF";"AP";
"1977-Q1";"EW";"TP3";
"1977-Q1";"EW";"TP1";
"1977-Q1";"EW";"TP2";
"1977-Q1";"EW";"AP";"52.14438525"
"1977-Q1";"EW";"TP";
"1977-Q1";"EH";"TP3";
"1977-Q1";"EH";"TP1";
"1977-Q1";"EH";"TP2";
"1977-Q1";"EH";"AP";"52.60852761"
"1977-Q1";"EH";"TP";
"1977-Q1";"MH";"TP1";
"1977-Q1";"MH";"TP2";
"1977-Q1";"MH";"TP";
"1977-Q1";"MW";"AP";"47.69364271"
"1977-Q1";"BF";"AP";"55.44659236"
"1977-Q1";"GF";"AP";"52.55287282"
"1977-Q1";"VF";"AP";
"1977-Q2";"EW";"TP3";
"1977-Q2";"EW";"TP1";
"1977-Q2";"EW";"TP2";
"1977-Q2";"EW";"AP";"52.12853596"
"1977-Q2";"EW";"TP";
"1977-Q2";"EH";"TP3";
"1977-Q2";"EH";"TP1";
"1977-Q2";"EH";"TP2";
"1977-Q2";"EH";"AP";"53.5538553"
"1977-Q2";"EH";"TP";
"1977-Q2";"MH";"TP1";
"1977-Q2";"MH";"TP2";
"1977-Q2";"MH";"TP";
"1977-Q2";"MW";"AP";"48.1847434"
"1977-Q2";"BF";"AP";"57.25046193"
"1977-Q2";"GF";"AP";"55.08569145"
"1977-Q2";"VF";"AP";
"1977-Q3";"EW";"TP3";
"1977-Q3";"EW";"TP1";
"1977-Q3";"EW";"TP2";
"1977-Q3";"EW";"AP";"53.45311449"
"1977-Q3";"EW";"TP";
"1977-Q3";"EH";"TP3";
"1977-Q3";"EH";"TP1";
"1977-Q3";"EH";"TP2";
"1977-Q3";"EH";"AP";"54.51221719"
"1977-Q3";"EH";"TP";
"1977-Q3";"MH";"TP1";
"1977-Q3";"MH";"TP2";
"1977-Q3";"MH";"TP";
"1977-Q3";"MW";"AP";"48.17707281"
"1977-Q3";"BF";"AP";"57.10084713"
"1977-Q3";"GF";"AP";"49.59404557"
"1977-Q3";"VF";"AP";
"1977-Q4";"EW";"TP3";
"1977-Q4";"EW";"TP1";
"1977-Q4";"EW";"TP2";
"1977-Q4";"EW";"AP";"54.12794474"
"1977-Q4";"EW";"TP";
"1977-Q4";"EH";"TP3";
"1977-Q4";"EH";"TP1";
"1977-Q4";"EH";"TP2";
"1977-Q4";"EH";"AP";"53.58284113"
"1977-Q4";"EH";"TP";
"1977-Q4";"MH";"TP1";
"1977-Q4";"MH";"TP2";
"1977-Q4";"MH";"TP";
"1977-Q4";"MW";"AP";"49.20718331"
"1977-Q4";"BF";"AP";"58.37281284"
"1977-Q4";"GF";"AP";"59.77856649"
"1977-Q4";"VF";"AP";
"1978-Q1";"EW";"TP3";
"1978-Q1";"EW";"TP1";
"1978-Q1";"EW";"TP2";
"1978-Q1";"EW";"AP";"52.49586817"
"1978-Q1";"EW";"TP";
"1978-Q1";"EH";"TP3";
"1978-Q1";"EH";"TP1";
"1978-Q1";"EH";"TP2";
"1978-Q1";"EH";"AP";"53.93781605"
"1978-Q1";"EH";"TP";
"1978-Q1";"MH";"TP1";
"1978-Q1";"MH";"TP2";
"1978-Q1";"MH";"TP";
"1978-Q1";"MW";"AP";"48.14485439"
"1978-Q1";"BF";"AP";"60.59778516"
"1978-Q1";"GF";"AP";"55.11574076"
"1978-Q1";"VF";"AP";
"1978-Q2";"EW";"TP3";
"1978-Q2";"EW";"TP1";
"1978-Q2";"EW";"TP2";
"1978-Q2";"EW";"AP";"53.91376439"
"1978-Q2";"EW";"TP";
"1978-Q2";"EH";"TP3";
"1978-Q2";"EH";"TP1";
"1978-Q2";"EH";"TP2";
"1978-Q2";"EH";"AP";"55.19119245"
"1978-Q2";"EH";"TP";
"1978-Q2";"MH";"TP1";
"1978-Q2";"MH";"TP2";
"1978-Q2";"MH";"TP";
"1978-Q2";"MW";"AP";"49.12946675"
"1978-Q2";"BF";"AP";"58.48498508"
"1978-Q2";"GF";"AP";"59.01055567"
