"REGION","CANTON","PERIOD","VALUE","STATUS","OBS_COEF"
"1","25","2023-04","3.65057093090768","A","A"
"2","Total","2023-04","1.76739788500195","A","A"
"2","2","2023-04","1.40251777933792","A","A"
"2","10","2023-04","2.08574872957368","A","A"
"2","11","2023-04","1.93116441812738","A","A"
"2","24","2023-04","2.5620829723313","A","A"
"2","26","2023-04","3.25889164598842","A","B"
"3","Total","2023-04","2.23080928936783","A","A"
"3","12","2023-04","2.99295077422676","A","A"
"3","13","2023-04","1.78627560852273","A","A"
"3","19","2023-04","2.19931126275537","A","A"
"4","Total","2023-04","1.67123246450078","A","A"
"4","1","2023-04","1.67123246450078","A","A"
"5","Total","2023-04","1.55256464603646","A","A"
"5","8","2023-04","1.46218871373087","A","B"
"5","14","2023-04","2.38040372384552","A","B"
"5","15","2023-04","1.07752068907279","A","B"
"5","16","2023-04","0.518612423648727","A","C"
"5","17","2023-04","1.5155399720508","A","A"
"5","18","2023-04","1.22216641553658","A","A"
"5","20","2023-04","1.77948450924238","A","A"
"6","Total","2023-04","1.09408661244229","A","A"
"6","3","2023-04","1.20968092978714","A","A"
"6","4","2023-04","0.745766223004816","A","C"
"6","5","2023-04","0.739342806394316","A","A"
"6","6","2023-04","0.568605518269948","A","C"
"6","7","2023-04","0.613547798689993","A","B"
"6","9","2023-04","1.59252453598849","A","B"
"7","Total","2023-04","2.2505994332631","A","A"
"7","21","2023-04","2.2505994332631","A","A"
"Total","Total","2023-03","2.01761527901734","A","A"
"1","Total","2023-03","3.09308714876486","A","A"
"1","22","2023-03","3.17903723483879","A","A"
"1","23","2023-03","2.09620551656898","A","A"
"1","25","2023-03","3.65863492677892","A","A"
"2","Total","2023-03","1.84615415173641","A","A"
"2","2","2023-03","1.451465667701","A","A"
"2","10","2023-03","2.2011109380678","A","A"
"2","11","2023-03","2.00787269118191","A","A"
"2","24","2023-03","2.71623552710047","A","A"
"2","26","2023-03","3.44637441411635","A","B"
"3","Total","2023-03","2.28016983862774","A","A"
"3","12","2023-03","2.98899053502832","A","A"
"3","13","2023-03","1.85119381158687","A","A"
"3","19","2023-03","2.25688209071895","A","A"
"4","Total","2023-03","1.7066477784992","A","A"
"4","1","2023-03","1.7066477784992","A","A"
"5","Total","2023-03","1.54492806024487","A","A"
"5","8","2023-03","1.46675805346127","A","B"
"5","14","2023-03","2.46796939810121","A","B"
"5","15","2023-03","1.16872149974666","A","B"
"5","16","2023-03","0.553186585225308","A","C"
"5","17","2023-03","1.51301226659348","A","A"
"5","18","2023-03","0.947783544468627","A","A"
"5","20","2023-03","1.8992449882843","A","A"
"6","Total","2023-03","1.14222906133216","A","A"
"6","3","2023-03","1.27062203456231","A","A"
"6","4","2023-03","0.838987000880418","A","C"
"6","5","2023-03","0.780417406749556","A","A"
"6","6","2023-03","0.61055182699478","A","C"
"6","7","2023-03","0.72133322278418","A","B"
"6","9","2023-03","1.57685568992778","A","B"
"7","Total","2023-03","2.48129041633365","A","A"
"7","21","2023-03","2.48129041633365","A","A"
"Total","Total","2023-02","2.14153694625428","A","A"
"1","Total","2023-02","3.34350092772343","A","A"
"1","22","2023-02","3.42216706665186","A","A"
